"Data Source,""World Development Indicators"","																														
																														
"Last Updated Date,""2017-04-27"","																														
																														
Country Name	Country Code	Indicator Name	Indicator Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Chile	CHL	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	9244.159549	9821.830843	10854.70461	11434.59018	11906.41031	12980.62089	13747.26268	14456.46747	14727.22445	14427.9757	14887.8983	15197.99875	15341.3958	15761.12871	16520.17666	17239.8609	17796.76913	18507.22085	18906.12706	18505.60281	19357.47343	20266.03603	21141.97773	21748.32609	21923.38642	22197.04271	
China	CHN	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	1526.408805	1645.66648	1856.722309	2090.038554	2336.277882	2564.071494	2789.252993	3015.699839	3221.002844	3438.074923	3700.743904	3980.364773	4314.791641	4718.326672	5164.641452	5719.455761	6411.042988	7285.274919	7947.788502	8651.726499	9525.819142	10384.36732	11145.75235	11951.24879	12758.64867	13572.19409	
Colombia	COL	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	7533.518824	7562.696828	7799.908755	7844.022303	8160.12027	8442.850137	8478.950658	8634.469535	8553.381568	8073.372693	8308.222744	8327.070759	8415.758715	8625.247388	8963.596588	9263.729745	9760.130028	10306.93007	10547.23315	10599.94043	10900.50433	11496.52725	11840.35585	12296.45605	12715.14324	12988.33879	
Comoros	COM	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	1586.269965	1457.116252	1535.816638	1536.825518	1414.77074	1425.300552	1368.634474	1385.718547	1366.650215	1357.127869	1466.481528	1463.735163	1461.576085	1456.705632	1449.341054	1454.8964	1457.633899	1434.024327	1405.123222	1398.002394	1394.301953	1396.033351	1403.245387	1417.511495	1412.36289	1393.256081	
Congo, Dem. Rep.	COD	GDP per capita, PPP (constant 2011 international $)		1267.706482	1117.89816	961.4705513	799.5685604	740.3448132	721.1448617	693.3620875	637.7704308	612.4359306	571.9955642	518.497586	493.2332372	492.606662	503.9594908	520.9566193	535.4236872	546.0274623	561.7040825	577.6153399	575.1624171	596.3228484	617.1479614	640.5886153	673.393848	711.0169497	736.6802449	
Congo, Repub. Of the	COG	GDP per capita, PPP (constant 2011 international $)		5256.711101	5242.779712	5241.141136	5056.297339	4654.743467	4713.407895	4784.431584	4625.922509	4669.83295	4430.777828	4647.953197	4711.630046	4817.088911	4747.382251	4795.791318	5034.244872	5197.570128	4962.42361	5078.872963	5295.164185	5595.296553	5632.435875	5698.126379	5749.124358	5988.158823	5993.153101	
Costa Rica	CRI	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	7787.164279	7787.082103	8289.673008	8655.230076	8820.044998	8960.617981	8855.112516	9129.620403	9545.795976	9712.48034	9878.271078	10040.56911	10201.57768	10473.91889	10768.73879	11025.47158	11656.22512	12433.21295	12834.94199	12543.98349	13000.01221	13397.19269	13877.96986	14004.82085	14266.38162	14646.56982	
Cote d'Ivoire	CIV	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	3220.49458	3110.577036	2996.911062	2890.8175	2819.432078	2925.862867	3056.966612	3079.310265	3142.375455	3112.207408	2977.695346	2919.894236	2817.730324	2730.779825	2716.127584	2712.568435	2701.001919	2693.915344	2705.126462	2733.025953	2726.288634	2546.906812	2752.989454	2925.643086	3097.341369	3300.072489	
Croatia	HRV	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD						12624.56095	13886.57592	14556.75084	15061.67765	14747.12587	15745.27831	16234.68247	17086.43095	18036.0789	18776.68684	19545.30894	20489.80108	21564.45429	22014.65575	20414.1382	20118.15697	20704.38177	20313.48265	20153.41422	20162.7389	20663.92949	
Cuba	CUB	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	13694.10816	12135.23567	10658.74317	9021.003079	9038.899674	9216.32665	9894.024459	10127.76214	10105.79009	10693.81691	11289.36565	11612.70304	11743.3402	12155.8066	12827.70242	14238.81194	15936.82641	17080.78281	17774.20956	18020.67071	18433.98377	18924.72487	19462.52512	19962.301	20141.98442	21016.65041	
